Apr 29 22:05:28 <goncalopp>	hello everyone
Apr 29 23:09:11 <goncalopp>	it really depends on what you want to achieve, though
Apr 29 23:09:46 <goncalopp>	oh, btw, you can dir() my_limo
Apr 29 23:09:52 <goncalopp>	etc
Apr 29 23:10:34 <goncalopp>	ok, let's do a short exercise
Apr 29 23:10:49 <goncalopp>	I want you to think of Tetris
Apr 29 23:11:07 <goncalopp>	how'd you implement a game of tetris using OOP?
Apr 29 23:11:19 <goncalopp>	first, we think about all the concepts involved
Apr 29 23:11:34 <goncalopp>	there's a lot of them, even for such a (seemingly) simple game
Apr 29 23:11:45 <goncalopp>	first, obviously, you have the playing field!
Apr 29 23:12:21 <goncalopp>	then, you have 4(?) different blocks
Apr 29 23:12:43 <neetismurder>	tetrominos*
Apr 29 23:12:57 <goncalopp>	sure, tetrominos :P
Apr 29 23:12:59 <kal-ei>	actually there are 6
Apr 29 23:13:18 <neetismurder>	I thought there were 7 :P
Apr 29 23:13:19 <goncalopp>	yes? the square, L, the line, squiggly..? I think that's the original tetris?
Apr 29 23:13:20 <Anonymous968574>	line, square, T, L, J, squiggly, reverse squiggly
Apr 29 23:13:31 <neetismurder>	reverse L
Apr 29 23:13:40 <kal-ei>	or more
Apr 29 23:13:45 <goncalopp>	ok, wikipedia for me:P
Apr 29 23:13:58 <goncalopp>	7, sure enough
Apr 29 23:14:07 <goncalopp>	that's a lot, I'll just do square and line
Apr 29 23:15:01 <goncalopp>	Now, obviously, the PlayingField must know which tetrominos are inside
Apr 29 23:15:24 *	kal-ei slaps kal-ei around a bit with a large trout
Apr 29 23:15:31 <goncalopp>	further, there's always a falling tetromino
Apr 29 23:15:35 <goncalopp>	o.o
Apr 29 23:16:00 <goncalopp>	still following, kal-ei? :P
Apr 29 23:16:02 <Anonymous968574>	should PlayingField have brackets?
Apr 29 23:16:06 <kal-ei>	yup
Apr 29 23:16:15 <goncalopp>	oh, sure, thanks
Apr 29 23:16:29 <goncalopp>	not sure if it needs to...
Apr 29 23:16:31 <goncalopp>	I'll check
Apr 29 23:16:39 <kal-ei>	why is there a pass to every line?
Apr 29 23:17:25 <goncalopp>	We're just defining the functions, so we don't want to think of the implementation yet. however, we must put *something* inside, else it's not a valid program
Apr 29 23:17:36 <kal-ei>	oh
Apr 29 23:17:51 <neetismurder>	so it's like a tetris box with no game inside
Apr 29 23:18:01 <goncalopp>	anyway, brackets are not necessary unless you're inheriting from something
Apr 29 23:18:19 <goncalopp>	however, it's good practice to always descend from something!
Apr 29 23:18:40 <goncalopp>	in python, base classes should descend from "object"
Apr 29 23:18:48 <goncalopp>	object here IS a class
Apr 29 23:18:55 <goncalopp>	the mother/father of all classes
Apr 29 23:19:33 <goncalopp>	it's not "an object"!
Apr 29 23:20:11 <goncalopp>	now, as I was saying, the playing field must know what is the current tetromino falling!
Apr 29 23:20:42 <goncalopp>	None is a type. It represents "nothing"
Apr 29 23:21:05 <goncalopp>	it's used as a placeholder until you have a instantiated object to put there
Apr 29 23:21:38 <goncalopp>	now, what else? tetrominos must have a position...
Apr 29 23:22:20 <goncalopp>	etc, I don't want to get into implementation details, really
Apr 29 23:22:37 <goncalopp>	it's just an example of how you'd structure tetris using OOP
Apr 29 23:23:02 <goncalopp>	now, of course, tetrominos should have turn_left() and turn_right() functions...
Apr 29 23:23:30 <goncalopp>	there
Apr 29 23:23:52 <goncalopp>	now, as you can see, Square and Line have no functions and no attributes
Apr 29 23:23:56 <goncalopp>	so, why are they there?
Apr 29 23:24:06 <goncalopp>	(give me a moment, I have a call, sorry)
Apr 29 23:29:41 <goncalopp>	back, sorry about that
Apr 29 23:30:03 <goncalopp>	anyway, they are there, for now, because we may need to tell them apart
Apr 29 23:30:09 <goncalopp>	how do we do that?
Apr 29 23:30:43 <goncalopp>	like so
Apr 29 23:31:38 <goncalopp>	isinstance( l1, Tetromino) is also True
Apr 29 23:32:12 <goncalopp>	it might be worthwhile to try   type( l1 ) too :)
Apr 29 23:32:51 <goncalopp>	experiment with that later with other datatypes to get a sense of the inheritance in python types
Apr 29 23:33:29 <goncalopp>	str, for example, descends from BaseString, or something like that
Apr 29 23:33:39 <goncalopp>	as does Unicode
Apr 29 23:34:00 <goncalopp>	so, you can test if something is text by doing isinstance( something, BaseString)
Apr 29 23:34:20 <goncalopp>	everything clear?
Apr 29 23:34:28 <neetismurder>	y
Apr 29 23:34:30 <Anonymous968574>	yes
Apr 29 23:34:45 <kal-ei>	y
Apr 29 23:34:52 <goncalopp>	great!
Apr 29 23:35:59 <goncalopp>	i think that's it for OOP. Obviously, you need a lot of time and practice to use it proficiently, but these basics should get you going
Apr 29 23:36:23 <kal-ei>	great!
Apr 29 23:36:42 <goncalopp>	Homework will be structuring something with OOP :)
Apr 29 23:36:49 <goncalopp>	Now, I wanted to talk to you guys about the class project
Apr 29 23:37:03 <kal-ei>	tetris!
Apr 29 23:37:12 <neetismurder>	rapelay 2!
Apr 29 23:37:13 <goncalopp>	I wish more people were here, but well
Apr 29 23:37:21 <Anonymous968574>	is tetris possible in Python?
Apr 29 23:37:27 *	kal-ei slaps kal-ei around a bit with a large trout
Apr 29 23:37:38 <goncalopp>	I don't even want to know what that is :P
Apr 29 23:38:08 <goncalopp>	anything is possible in any turing complete language, which python is. What you want to know is: will it run smoothly?
Apr 29 23:38:58 <goncalopp>	to which the answer is: absolutely. Many complex games were developed using python. I play Frets On Fire, personally, which is pure python, I believe
Apr 29 23:39:10 <goncalopp>	tetris, comparatively, is very very simple
Apr 29 23:39:35 <neetismurder>	renpy is a good example of what python can do graphically as well
Apr 29 23:39:40 <goncalopp>	however, developing a game requires quite a lot of knowledge about physics and math
Apr 29 23:40:30 <goncalopp>	didn't know about renpy, looks cool... you feet it strings and images and it does everything else?
Apr 29 23:40:46 <neetismurder>	well, not exactly
Apr 29 23:40:56 <neetismurder>	but I guess you could do that if you are an underachiever ;)
Apr 29 23:41:12 <goncalopp>	:P
Apr 29 23:42:09 <goncalopp>	now, tetris *should* be feasible without too much fancy equations
Apr 29 23:42:32 <goncalopp>	rotation should be done using matrix multiplication, really, but one can always do it by hand...
Apr 29 23:42:53 <goncalopp>	it'll lead to lots of time lost on things that don't really matter, though
Apr 29 23:43:42 <goncalopp>	nim, I remember you mentioning something about searching and indexing torrents?
Apr 29 23:43:52 <neetismurder>	yes, I'm going to start that soon
Apr 29 23:44:31 <goncalopp>	would that be too boring as class project for you guys?
Apr 29 23:44:32 <kal-ei>	world torrent archive?
Apr 29 23:44:35 <kal-ei>	neat
Apr 29 23:44:36 <neetismurder>	a script that autmotically checks and downloads torrent files
Apr 29 23:45:20 <goncalopp>	we may add some more features on top of that, like auto searching by movie/music discography/music cd/tv series
Apr 29 23:45:57 <neetismurder>	I think you can pipe it right into rtorrent too
Apr 29 23:46:03 <neetismurder>	not sure about transmission though
Apr 29 23:46:16 <goncalopp>	transmission has an http api, i believe
Apr 29 23:46:48 <goncalopp>	this will be hard on those using windows, though...
Apr 29 23:46:57 <goncalopp>	I think utorrent also had a web interface?
Apr 29 23:47:20 <Anonymous968574>	well, I've been planning to get linux for a while...
Apr 29 23:48:01 <goncalopp>	well, if everyone's on unix, we may be able to pull it off
Apr 29 23:48:08 <goncalopp>	more ideas?
Apr 29 23:48:22 <goncalopp>	anything you might want to automate?
Apr 29 23:48:29 <goncalopp>	maybe a bot to a web game?
Apr 29 23:48:30 <neetismurder>	how would you do something like a cron job on Windows?
Apr 29 23:49:07 <goncalopp>	that's very simple, no? you just need a loop that sleeps every second and a couple of ifs
Apr 29 23:49:14 <goncalopp>	of, sure, a parser for crontab...
Apr 29 23:49:16 <Anonymous968574>	a bot sounds fun
Apr 29 23:49:18 <kal-ei>	with windows scheduler?
Apr 29 23:49:36 <goncalopp>	I'd avoid the windows API like the plague :P
Apr 29 23:49:46 <neetismurder>	oh so instead of the script exiting you just leave it open and have it sleep?
Apr 29 23:49:46 <kal-ei>	lol
Apr 29 23:50:04 <goncalopp>	sure nim, remember cron is a daemon
Apr 29 23:50:27 <goncalopp>	it runs other scripts as instances, but cron itself is always running
Apr 29 23:50:35 <neetismurder>	yeah
Apr 29 23:51:25 <goncalopp>	anyway, i think something with a web api would be great, since they are increasingly important nowadays
Apr 29 23:51:38 <goncalopp>	maybe we can integrate twitter, or something?
Apr 29 23:51:56 <neetismurder>	or maybe identi.ca?
Apr 29 23:52:05 <goncalopp>	fine by me :)
Apr 29 23:52:17 <goncalopp>	they're apis are the same :)
Apr 29 23:52:21 <goncalopp>	*their
Apr 29 23:52:31 <goncalopp>	my english keeps getting better :P
Apr 29 23:52:56 <neetismurder>	w anything is fine by me
Apr 29 23:53:28 <neetismurder>	if we all ran *nix I think the torrent snatcher would be pretty small though, maybe not even big enough
Apr 29 23:54:00 <neetismurder>	and if we didn't, it would probably be too hard, so something else might be better
Apr 29 23:54:17 <goncalopp>	ok then, I thing torrent are a good start. It is vast enough so everyone can focus on something s/he wants to do, it requires accessing the web, parsing html, some nice abstraction layers with OOP...
Apr 29 23:54:45 <goncalopp>	I'm not sure about utorrent on windows, but I'll check it
Apr 29 23:55:11 <goncalopp>	It needn't be too complicated, but we need a exceptionally clean OOP model
Apr 29 23:55:18 <goncalopp>	so we don't run into each other's toes
Apr 29 23:55:30 <goncalopp>	since the idea is to have everyone do a part of the project! :)
Apr 29 23:56:20 <kal-ei>	great!
Apr 29 23:56:25 <kal-ei>	in that case, good night
Apr 29 23:56:32 <kal-ei>	(or morning..)
Apr 29 23:56:36 <goncalopp>	unless you prefer individual work:P but doing it as a group will ensure you develop communication skills, as well as reading each others code :)
Apr 29 23:56:52 <goncalopp>	also, I'll give a class on revision control
Apr 29 23:57:10 <neetismurder>	so we will be able to do it on github maybe?
Apr 29 23:57:23 <neetismurder>	take care kal-ei
Apr 29 23:57:45 <kal-ei>	bye
Apr 29 23:57:48 <Anonymous968574>	cya
Apr 29 23:57:48 <goncalopp>	good nigth kal-ei :)
Apr 29 23:57:52 *	kal-ei has quit ()
Apr 29 23:58:13 <goncalopp>	I was thinking of github, yes, since it allows everyone to have a fork and contribute back cleanly and openly
Apr 29 23:58:59 <goncalopp>	we could also go with mercurial, but then I'd need to learn it first :P
Apr 29 23:59:20 <Anonymous968574>	bye everyone
Apr 29 23:59:26 <goncalopp>	I think git will do very well though
